key,value
created_at,2026-05-13T01:13:19
project_root,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop
description,MPCC vs standard MPC speed/tracking sweep with sensor noise enabled.
command,paper_scripts/mpcc_vs_mpc_speed_tracking.py --variants standard_mpc mpcc_default mpcc_balanced_tracking mpcc_tight_tracking --terrains clay sand --paths sinusoidal lane_change --speeds 5 --bumpiness 0 4 --seeds 1 --time 8 --timeout 220 --base-port 12400
base_port,12400
base_seed,200
bumpiness,"[0, 4]"
lead_in,5.0
paths,"['sinusoidal', 'lane_change']"
quick,False
seeds,1
speeds,[5.0]
terrains,"['clay', 'sand']"
time,8.0
timeout,220.0
variants,"['standard_mpc', 'mpcc_default', 'mpcc_balanced_tracking', 'mpcc_tight_tracking']"
