key,value
created_at,2026-05-15T06:19:54
project_root,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop
description,"Tire model sweep with the live terrain estimator on, to test the order-of-magnitude tracking claim."
command,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/tire_model_with_estimator_ablation.py --variants pacejka_static tmeasy_static nn_v3_static nn_v3_estimator --terrains clay sand --paths sinusoidal lane_change --speeds 5 7 --bumpiness 0 4 --seeds 2 --time 12.0 --time 20.0 --metric-start 8.0 --base-port 60000
base_port,60000
base_seed,400
bumpiness,"[0, 4]"
lead_in,5.0
metric_start,8.0
paths,"['sinusoidal', 'lane_change']"
quick,False
seeds,2
speeds,"[5.0, 7.0]"
terrains,"['clay', 'sand']"
time,20.0
timeout,240.0
variants,"['pacejka_static', 'tmeasy_static', 'nn_v3_static', 'nn_v3_estimator']"
