key,value
created_at,2026-05-16T02:12:29
project_root,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop
description,Safety filter obstacle-avoidance sweep with sensor noise enabled.
command,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/safety_filter_sweep.py --quick --base-port 27000
base_port,27000
base_seed,45
blind_and_aware,False
bumpiness,[0]
flavors,"['none', 'dob_cbf', 'mppi', 'nmpc']"
lead_in,5.0
mppi_samples,384
nmpc_iter,6
output_suffix,''
paths,['sinusoidal']
quick,True
rocks,5
safety_buffer,0.5
seeds,1
shield_horizon,18
speeds,[5.0]
terrains,['clay']
time,8.0
timeout,200.0
