key,value
created_at,2026-05-13T00:36:55
project_root,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop
description,Safety filter obstacle-avoidance sweep with sensor noise enabled.
command,project/SCM_Teleop/paper_scripts/safety_filter_sweep.py --quick --time 3 --timeout 120 --mppi-samples 64 --shield-horizon 6 --nmpc-iter 2
base_port,7800
base_seed,45
blind_and_aware,False
bumpiness,[0]
flavors,"['none', 'dob_cbf', 'mppi', 'nmpc']"
lead_in,5.0
mppi_samples,64
nmpc_iter,2
paths,['sinusoidal']
quick,True
rocks,5
seeds,1
shield_horizon,6
speeds,[5.0]
terrains,['clay']
time,3.0
timeout,120.0
