key,value
created_at,2026-05-13T01:04:47
project_root,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop
description,MPCC vs standard MPC speed/tracking sweep with sensor noise enabled.
command,paper_scripts/mpcc_vs_mpc_speed_tracking.py --variants standard_mpc standard_mpc_soft_speed mpcc_default mpcc_less_speed_cap --terrains clay sand --paths sinusoidal lane_change --speeds 5 --bumpiness 0 4 --seeds 1 --time 8 --timeout 220 --base-port 12200
base_port,12200
base_seed,200
bumpiness,"[0, 4]"
lead_in,5.0
paths,"['sinusoidal', 'lane_change']"
quick,False
seeds,1
speeds,[5.0]
terrains,"['clay', 'sand']"
time,8.0
timeout,220.0
variants,"['standard_mpc', 'standard_mpc_soft_speed', 'mpcc_default', 'mpcc_less_speed_cap']"
