key,value
created_at,2026-05-14T00:15:53
project_root,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop
description,Safety filter obstacle-avoidance sweep with sensor noise enabled.
command,project/SCM_Teleop/paper_scripts/safety_filter_sweep.py --flavors mppi --terrains clay --paths sinusoidal --speeds 5 --bumpiness 0 --seeds 1 --time 8 --rocks 5 --mppi-samples 128 --shield-horizon 12 --safety-buffer 0.5 --timeout 180 --base-port 15400
base_port,15400
base_seed,45
blind_and_aware,False
bumpiness,[0]
flavors,['mppi']
lead_in,5.0
mppi_samples,128
nmpc_iter,6
paths,['sinusoidal']
quick,False
rocks,5
safety_buffer,0.5
seeds,1
shield_horizon,12
speeds,[5.0]
terrains,['clay']
time,8.0
timeout,180.0
