key,value
created_at,2026-05-13T06:22:09
project_root,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop
description,MPCC vs standard MPC speed/tracking sweep with sensor noise enabled.
command,project/SCM_Teleop/paper_scripts/mpcc_vs_mpc_speed_tracking.py --variants standard_mpc standard_mpc_soft_speed standard_mpc_overspeed_cap standard_mpc_no_speed mpcc_default --terrains clay sand --paths sinusoidal lane_change --speeds 5 --bumpiness 0 --seeds 1 --time 10 --timeout 220 --base-port 15100
base_port,15100
base_seed,200
bumpiness,[0]
lead_in,5.0
paths,"['sinusoidal', 'lane_change']"
quick,False
seeds,1
speeds,[5.0]
terrains,"['clay', 'sand']"
time,10.0
timeout,220.0
variants,"['standard_mpc', 'standard_mpc_soft_speed', 'standard_mpc_overspeed_cap', 'standard_mpc_no_speed', 'mpcc_default']"
