key,value
created_at,2026-05-15T06:16:34
project_root,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop
description,"Tire model sweep with the live terrain estimator on, to test the order-of-magnitude tracking claim."
command,paper_scripts/tire_model_with_estimator_ablation.py --quick
base_port,9000
base_seed,400
bumpiness,[0]
lead_in,5.0
metric_start,8.0
paths,['sinusoidal']
quick,True
seeds,1
speeds,[5.0]
terrains,['clay']
time,12.0
timeout,240.0
variants,"['pacejka_static', 'tmeasy_static', 'nn_v3_static', 'nn_v3_estimator']"
