key,value
created_at,2026-05-14T22:09:47
project_root,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop
description,Safety filter obstacle-avoidance sweep with sensor noise enabled.
command,project/SCM_Teleop/paper_scripts/safety_filter_sweep.py --flavors none dob_cbf mppi nmpc --terrains clay sand dirt --paths sinusoidal lane_change --speeds 5 --bumpiness 0 --seeds 2 --time 10 --rocks 5 --safety-buffer 0.5 --shield-horizon 18 --mppi-samples 384 --nmpc-iter 8 --timeout 220 --base-port 50000
base_port,50000
base_seed,45
blind_and_aware,False
bumpiness,[0]
flavors,"['none', 'dob_cbf', 'mppi', 'nmpc']"
lead_in,5.0
mppi_samples,384
nmpc_iter,8
paths,"['sinusoidal', 'lane_change']"
quick,False
rocks,5
safety_buffer,0.5
seeds,2
shield_horizon,18
speeds,[5.0]
terrains,"['clay', 'sand', 'dirt']"
time,10.0
timeout,220.0
