key,value
created_at,2026-05-13T00:50:27
project_root,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop
description,MPCC vs standard MPC speed/tracking sweep with sensor noise enabled.
command,paper_scripts/mpcc_vs_mpc_speed_tracking.py --variants standard_mpc standard_mpc_soft_speed --terrains clay --paths sinusoidal --speeds 5 --bumpiness 0 --seeds 1 --time 3 --timeout 140 --base-port 11200
base_port,11200
base_seed,200
bumpiness,[0]
lead_in,5.0
paths,['sinusoidal']
quick,False
seeds,1
speeds,[5.0]
terrains,['clay']
time,3.0
timeout,140.0
variants,"['standard_mpc', 'standard_mpc_soft_speed']"
