key,value
created_at,2026-05-13T00:34:04
project_root,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop
description,MPCC vs standard MPC speed/tracking sweep with sensor noise enabled.
command,project/SCM_Teleop/paper_scripts/mpcc_vs_mpc_speed_tracking.py --quick --time 3 --timeout 120
base_port,7000
base_seed,200
bumpiness,[0]
lead_in,5.0
paths,['sinusoidal']
quick,True
seeds,1
speeds,[5.0]
terrains,['clay']
time,3.0
timeout,120.0
variants,"['standard_mpc', 'mpcc_default', 'mpcc_less_speed_cap']"
